Threshold,TP,FN,FP,TN,GAR_TPR,FAR_FPR,FRR
0.5,11845,307,34,11,0.9747366688610928,0.7555555555555555,0.025263331138907177
0.51,11767,385,29,16,0.9683179723502304,0.6444444444444445,0.03168202764976959
0.52,11693,459,25,20,0.962228439763002,0.5555555555555556,0.03777156023699803
0.53,11597,555,20,25,0.9543285055957867,0.4444444444444444,0.045671494404213295
0.54,11487,665,15,30,0.9452764976958525,0.3333333333333333,0.054723502304147464
0.55,11364,788,13,32,0.935154707044108,0.28888888888888886,0.06484529295589203
0.56,11207,945,10,35,0.9222350230414746,0.2222222222222222,0.07776497695852534
0.57,11004,1148,8,37,0.9055299539170507,0.17777777777777778,0.0944700460829493
0.58,10772,1380,5,40,0.8864384463462804,0.1111111111111111,0.11356155365371955
0.59,10532,1620,3,42,0.8666886109282422,0.06666666666666667,0.13331138907175774
0.6,10239,1913,2,43,0.842577353522054,0.044444444444444446,0.15742264647794602
0.61,9895,2257,1,44,0.8142692560895326,0.022222222222222223,0.1857307439104674
0.62,9500,2652,1,44,0.7817643186306781,0.022222222222222223,0.21823568136932192
0.63,9045,3107,1,44,0.744321922317314,0.022222222222222223,0.25567807768268597
0.64,8545,3607,1,44,0.7031764318630678,0.022222222222222223,0.29682356813693217
0.65,7944,4208,1,44,0.6537195523370638,0.022222222222222223,0.34628044766293614
0.66,7344,4808,1,44,0.6043449637919684,0.022222222222222223,0.3956550362080316
0.67,6720,5432,1,44,0.5529953917050692,0.022222222222222223,0.4470046082949309
0.68,6067,6085,1,44,0.49925938117182356,0.022222222222222223,0.5007406188281764
0.69,5433,6719,1,44,0.4470868992758394,0.022222222222222223,0.5529131007241607
0.7,4767,7385,1,44,0.3922811059907834,0.022222222222222223,0.6077188940092166
0.71,4112,8040,1,44,0.33838051349572085,0.022222222222222223,0.6616194865042792
0.72,3459,8693,1,44,0.2846445029624753,0.022222222222222223,0.7153554970375247
0.73,2844,9308,1,44,0.23403554970375248,0.022222222222222223,0.7659644502962475
0.74,2355,9797,0,45,0.19379526003949968,0.0,0.8062047399605003
0.75,1887,10265,0,45,0.15528308097432522,0.0,0.8447169190256748
0.76,1855,10297,0,45,0.15264976958525345,0.0,0.8473502304147466
0.77,1414,10738,0,45,0.11635944700460829,0.0,0.8836405529953917
0.78,1052,11100,0,45,0.08657011191573404,0.0,0.913429888084266
0.79,740,11412,0,45,0.0608953258722844,0.0,0.9391046741277156
0.8,524,11628,0,45,0.043120473996050034,0.0,0.95687952600395
0.81,356,11796,0,45,0.029295589203423306,0.0,0.9707044107965767
0.82,242,11910,0,45,0.01991441737985517,0.0,0.9800855826201448
0.83,139,12013,0,45,0.011438446346280448,0.0,0.9885615536537196
0.84,89,12063,0,45,0.007323897300855827,0.0,0.9926761026991442
0.85,49,12103,0,45,0.004032258064516129,0.0,0.9959677419354839
0.86,25,12127,0,45,0.002057274522712311,0.0,0.9979427254772877
0.87,17,12135,0,45,0.0013989466754443713,0.0,0.9986010533245556
0.88,13,12139,0,45,0.0010697827518104015,0.0,0.9989302172481896
0.89,9,12143,0,45,0.0007406188281764319,0.0,0.9992593811718236
0.9,6,12146,0,45,0.0004937458854509546,0.0,0.9995062541145491
0.91,5,12147,0,45,0.00041145490454246215,0.0,0.9995885450954576
0.92,5,12147,0,45,0.00041145490454246215,0.0,0.9995885450954576
0.93,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.94,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.95,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.96,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.97,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.98,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.99,1,12151,0,45,8.229098090849243e-05,0.0,0.9999177090190915
