Threshold,TP,FN,FP,TN,GAR_TPR,FAR_FPR,FRR
0.5,11845,307,34,11,0.9747366688610928,0.7555555555555555,0.025263331138907177
0.51,11767,385,29,16,0.9683179723502304,0.6444444444444445,0.03168202764976959
0.52,11693,459,25,20,0.962228439763002,0.5555555555555556,0.03777156023699803
0.53,11597,555,20,25,0.9543285055957867,0.4444444444444444,0.045671494404213295
0.54,11486,666,15,30,0.945194206714944,0.3333333333333333,0.054805793285055956
0.55,11363,789,13,32,0.9350724160631995,0.28888888888888886,0.06492758393680052
0.56,11203,949,10,35,0.9219058591178407,0.2222222222222222,0.07809414088215931
0.57,10995,1157,8,37,0.9047893350888743,0.17777777777777778,0.09521066491112574
0.58,10764,1388,5,40,0.8857801184990125,0.1111111111111111,0.1142198815009875
0.59,10521,1631,3,42,0.8657834101382489,0.06666666666666667,0.13421658986175114
0.6,10224,1928,2,43,0.8413429888084266,0.044444444444444446,0.1586570111915734
0.61,9882,2270,1,44,0.8131994733377221,0.022222222222222223,0.1868005266622778
0.62,9473,2679,1,44,0.7795424621461488,0.022222222222222223,0.22045753785385122
0.63,9018,3134,1,44,0.7421000658327848,0.022222222222222223,0.2578999341672153
0.64,8509,3643,1,44,0.7002139565503621,0.022222222222222223,0.29978604344963794
0.65,7900,4252,1,44,0.6500987491770902,0.022222222222222223,0.3499012508229098
0.66,7290,4862,1,44,0.5999012508229098,0.022222222222222223,0.4000987491770902
0.67,6669,5483,1,44,0.548798551678736,0.022222222222222223,0.45120144832126396
0.68,6003,6149,1,44,0.49399275839368006,0.022222222222222223,0.5060072416063199
0.69,5367,6785,1,44,0.4416556945358789,0.022222222222222223,0.5583443054641212
0.7,4687,7465,1,44,0.385697827518104,0.022222222222222223,0.614302172481896
0.71,4017,8135,1,44,0.3305628703094141,0.022222222222222223,0.6694371296905859
0.72,3368,8784,1,44,0.2771560236998025,0.022222222222222223,0.7228439763001975
0.73,2746,9406,1,44,0.2259710335747202,0.022222222222222223,0.7740289664252797
0.74,2253,9899,0,45,0.18540157998683343,0.0,0.8145984200131665
0.75,1781,10371,0,45,0.146560236998025,0.0,0.853439763001975
0.76,1781,10371,0,45,0.146560236998025,0.0,0.853439763001975
0.77,1351,10801,0,45,0.11117511520737328,0.0,0.8888248847926268
0.78,1002,11150,0,45,0.08245556287030942,0.0,0.9175444371296906
0.79,696,11456,0,45,0.05727452271231073,0.0,0.9427254772876893
0.8,490,11662,0,45,0.04032258064516129,0.0,0.9596774193548387
0.81,329,11823,0,45,0.02707373271889401,0.0,0.972926267281106
0.82,222,11930,0,45,0.01826859776168532,0.0,0.9817314022383147
0.83,126,12026,0,45,0.010368663594470046,0.0,0.9896313364055299
0.84,77,12075,0,45,0.006336405529953917,0.0,0.993663594470046
0.85,39,12113,0,45,0.0032093482554312047,0.0,0.9967906517445688
0.86,18,12134,0,45,0.0014812376563528638,0.0,0.9985187623436471
0.87,8,12144,0,45,0.0006583278472679394,0.0,0.9993416721527321
0.88,6,12146,0,45,0.0004937458854509546,0.0,0.9995062541145491
0.89,3,12149,0,45,0.0002468729427254773,0.0,0.9997531270572745
0.9,3,12149,0,45,0.0002468729427254773,0.0,0.9997531270572745
0.91,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.92,2,12150,0,45,0.00016458196181698485,0.0,0.999835418038183
0.93,1,12151,0,45,8.229098090849243e-05,0.0,0.9999177090190915
0.94,1,12151,0,45,8.229098090849243e-05,0.0,0.9999177090190915
0.95,0,12152,0,45,0.0,0.0,1.0
0.96,0,12152,0,45,0.0,0.0,1.0
0.97,0,12152,0,45,0.0,0.0,1.0
0.98,0,12152,0,45,0.0,0.0,1.0
0.99,0,12152,0,45,0.0,0.0,1.0
